,Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value,Origin Firm,Origin Firm Profit,Origin output,#trading partners,destination Firm,destination Firm Profit,destination output,distance between origin and destination,colonised(1/0),common_lang(1/0),hsbc presence in destination,gdp of source,Percet Import,Y
11,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,64,"Footwear, gaiters and the like; parts of such articles",A,Annual,A,Annual,USD,US$,2017,,,,93.5424887,"Footwear, gaiters and the like; parts of such articles - Hong Kong, China- Ltd.",2696.44722,17976.3148,11,"Footwear, gaiters and the like; parts of such articles - Afghanistan- Ltd.",14.03137331,93.5424887,4566.617,0,0,0,19543976906,100,1
12,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,71,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",A,Annual,A,Annual,USD,US$,2017,,,,1569786.546,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin - Hong Kong, China- Ltd.",932949.7721,6219665.147,14,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin - Afghanistan- Ltd.",235467.9819,1569786.546,4566.617,0,0,0,19543976907,100,1
13,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,74,Copper and articles thereof,A,Annual,A,Annual,USD,US$,2017,,,,680.5889712,"Copper and articles thereof - Hong Kong, China- Ltd.",591.6979839,3944.653226,6,Copper and articles thereof - Afghanistan- Ltd.,102.0883457,680.5889712,4566.617,0,0,0,19543976908,100,1
14,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",A,Annual,A,Annual,USD,US$,2017,,,,27.0747121,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles - Hong Kong, China- Ltd.",402733.155,2684887.7,26,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles - Afghanistan- Ltd.",4.061206815,27.0747121,4566.617,0,0,0,19543976909,100,1
15,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates",A,Annual,A,Annual,USD,US$,2017,,,,28808.90514,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates - Hong Kong, China- Ltd.",16310.71928,108738.1286,15,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates - Afghanistan- Ltd.",4321.335771,28808.90514,4566.617,0,0,0,19543976910,100,1
16,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,97,"Works of art, collectors' pieces and antiques",A,Annual,A,Annual,USD,US$,2017,,,,18820.13281,"Works of art, collectors' pieces and antiques - Hong Kong, China- Ltd.",65369.47271,435796.4847,8,"Works of art, collectors' pieces and antiques - Afghanistan- Ltd.",2823.019922,18820.13281,4566.617,0,0,0,19543976911,100,1
17,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2017,,,,663949.1868,"Fish and crustaceans, molluscs and other aquatic invertebrates - Hong Kong, China- Ltd.",4558969.617,30393130.78,6,"Fish and crustaceans, molluscs and other aquatic invertebrates - Albania- Ltd.",99592.37802,663949.1868,8747.532,0,0,0,13038538300,100,0
18,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",A,Annual,A,Annual,USD,US$,2017,,,,4841.754082,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included - Hong Kong, China- Ltd.",234600.4978,1564003.318,6,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included - Albania- Ltd.",726.2631123,4841.754082,8747.532,0,0,0,13038538301,100,0
19,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2017,,,,19131.9411,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates - Hong Kong, China- Ltd.",4285789.127,28571927.51,8,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates - Albania- Ltd.",2869.791165,19131.9411,8747.532,0,0,0,13038538302,100,0
20,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,39,Plastics and articles thereof,A,Annual,A,Annual,USD,US$,2017,,,,50109.9028,"Plastics and articles thereof - Hong Kong, China- Ltd.",1658125.923,11054172.82,15,Plastics and articles thereof - Albania- Ltd.,7516.48542,50109.9028,8747.532,0,0,0,13038538303,100,0
21,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",A,Annual,A,Annual,USD,US$,2017,,,,68030.28262,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) - Hong Kong, China- Ltd.",1064394.662,7095964.412,29,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) - Albania- Ltd.",10204.54239,68030.28262,8747.532,0,0,0,13038538304,100,0
22,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",A,Annual,A,Annual,USD,US$,2017,,,,4489.654509,"Paper and paperboard; articles of paper pulp, of paper or of paperboard - Hong Kong, China- Ltd.",1835101.176,12234007.84,22,"Paper and paperboard; articles of paper pulp, of paper or of paperboard - Albania- Ltd.",673.4481764,4489.654509,8747.532,0,0,0,13038538305,100,0
23,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,A,Annual,A,Annual,USD,US$,2017,,,,379.9441825,"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery - Hong Kong, China- Ltd.",56049.56444,373663.7629,4,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery - Albania- Ltd.,56.99162738,379.9441825,8747.532,0,0,0,13038538306,100,0
24,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,61,"Articles of apparel and clothing accessories, knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,561634.6197,"Articles of apparel and clothing accessories, knitted or crocheted - Hong Kong, China- Ltd.",22904540.79,152696938.6,38,"Articles of apparel and clothing accessories, knitted or crocheted - Albania- Ltd.",84245.19296,561634.6197,8747.532,0,0,0,13038538307,100,0
25,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,62,"Articles of apparel and clothing accessories, not knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,2600723.96,"Articles of apparel and clothing accessories, not knitted or crocheted - Hong Kong, China- Ltd.",27128504.62,180856697.5,37,"Articles of apparel and clothing accessories, not knitted or crocheted - Albania- Ltd.",390108.594,2600723.96,8747.532,0,0,0,13038538308,100,0
26,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags,A,Annual,A,Annual,USD,US$,2017,,,,68.0075707,"Other made up textile articles; sets; worn clothing and worn textile articles; rags - Hong Kong, China- Ltd.",1848505.729,12323371.52,16,Other made up textile articles; sets; worn clothing and worn textile articles; rags - Albania- Ltd.,10.20113561,68.0075707,8747.532,0,0,0,13038538309,100,0
27,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,64,"Footwear, gaiters and the like; parts of such articles",A,Annual,A,Annual,USD,US$,2017,,,,355105.8929,"Footwear, gaiters and the like; parts of such articles - Hong Kong, China- Ltd.",49753761.05,331691740.4,37,"Footwear, gaiters and the like; parts of such articles - Albania- Ltd.",53265.88394,355105.8929,8747.532,0,0,0,13038538310,100,0
28,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,65,Headgear and parts thereof,A,Annual,A,Annual,USD,US$,2017,,,,48.6318288,"Headgear and parts thereof - Hong Kong, China- Ltd.",921944.4394,6146296.263,17,Headgear and parts thereof - Albania- Ltd.,7.29477432,48.6318288,8747.532,0,0,0,13038538311,100,0
29,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",A,Annual,A,Annual,USD,US$,2017,,,,6110.031117,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof - Hong Kong, China- Ltd.",3210989.734,21406598.23,33,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof - Albania- Ltd.",916.5046676,6110.031117,8747.532,0,0,0,13038538312,100,0
30,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",A,Annual,A,Annual,USD,US$,2017,,,,37708.01655,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles - Hong Kong, China- Ltd.",7667343.616,51115624.11,29,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles - Albania- Ltd.",5656.202483,37708.01655,8747.532,0,0,0,13038538313,100,0
31,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",A,Annual,A,Annual,USD,US$,2017,,,,2257.338081,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof - Hong Kong, China- Ltd.",959308.7893,6395391.929,21,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof - Albania- Ltd.",338.6007122,2257.338081,8747.532,0,0,0,13038538314,100,0
32,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,95,"Toys, games and sports requisites; parts and accessories thereof",A,Annual,A,Annual,USD,US$,2017,,,,56.4591153,"Toys, games and sports requisites; parts and accessories thereof - Hong Kong, China- Ltd.",332393.9345,2215959.563,13,"Toys, games and sports requisites; parts and accessories thereof - Albania- Ltd.",8.468867295,56.4591153,8747.532,0,0,0,13038538315,100,0
33,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",8,Albania,HS,Harmonized System,97,"Works of art, collectors' pieces and antiques",A,Annual,A,Annual,USD,US$,2017,,,,5.7742277,"Works of art, collectors' pieces and antiques - Hong Kong, China- Ltd.",77597.8668,517319.112,9,"Works of art, collectors' pieces and antiques - Albania- Ltd.",0.866134155,5.7742277,8747.532,0,0,0,13038538316,100,0
34,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,2,Meat and edible meat offal,A,Annual,A,Annual,USD,US$,2017,,,,78016.232,"Meat and edible meat offal - Hong Kong, China- Ltd.",102829.695,685531.3,3,Meat and edible meat offal - Algeria- Ltd.,11702.4348,78016.232,10858,1,0,1,1.68E+11,100,0
35,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2017,,,,61099.66959,"Fish and crustaceans, molluscs and other aquatic invertebrates - Hong Kong, China- Ltd.",3433689.778,22891265.18,5,"Fish and crustaceans, molluscs and other aquatic invertebrates - Algeria- Ltd.",9164.950439,61099.66959,10858,1,0,1,1.68E+11,100,0
36,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,8,Edible fruit and nuts; peel of citrus fruit or melons,A,Annual,A,Annual,USD,US$,2017,,,,10113.49565,"Edible fruit and nuts; peel of citrus fruit or melons - Hong Kong, China- Ltd.",7393253.281,49288355.21,25,Edible fruit and nuts; peel of citrus fruit or melons - Algeria- Ltd.,1517.024348,10113.49565,10858,1,0,1,1.68E+11,100,0
37,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,A,Annual,A,Annual,USD,US$,2017,,,,14349.08414,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes - Hong Kong, China- Ltd.",47976.11519,319840.7679,5,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes - Algeria- Ltd.,2152.362621,14349.08414,10858,1,0,1,1.68E+11,100,0
38,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2017,,,,301870.9781,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates - Hong Kong, China- Ltd.",88518.73126,590124.8751,4,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates - Algeria- Ltd.",45280.64672,301870.9781,10858,1,0,1,1.68E+11,100,0
39,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,22,"Beverages, spirits and vinegar",A,Annual,A,Annual,USD,US$,2017,,,,5336.284605,"Beverages, spirits and vinegar - Hong Kong, China- Ltd.",728183.0765,4854553.843,10,"Beverages, spirits and vinegar - Algeria- Ltd.",800.4426908,5336.284605,10858,1,0,1,1.68E+11,100,0
40,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,41,Raw hides and skins (other than furskins) and leather,A,Annual,A,Annual,USD,US$,2017,,,,1219045.969,"Raw hides and skins (other than furskins) and leather - Hong Kong, China- Ltd.",2766235.954,18441573.03,5,Raw hides and skins (other than furskins) and leather - Algeria- Ltd.,182856.8954,1219045.969,10858,1,0,1,1.68E+11,100,0
41,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",A,Annual,A,Annual,USD,US$,2017,,,,13366.95217,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) - Hong Kong, China- Ltd.",17362.95656,115753.0437,7,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) - Algeria- Ltd.",2005.042826,13366.95217,10858,1,0,1,1.68E+11,100,0
42,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",A,Annual,A,Annual,USD,US$,2017,,,,32027.71629,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof - Hong Kong, China- Ltd.",53482.96693,356553.1129,2,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof - Algeria- Ltd.",4804.157443,32027.71629,10858,1,0,1,1.68E+11,100,0
43,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,61,"Articles of apparel and clothing accessories, knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,388.5413659,"Articles of apparel and clothing accessories, knitted or crocheted - Hong Kong, China- Ltd.",5713.006832,38086.71221,11,"Articles of apparel and clothing accessories, knitted or crocheted - Algeria- Ltd.",58.28120489,388.5413659,10858,1,0,1,1.68E+11,100,0
44,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,62,"Articles of apparel and clothing accessories, not knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,130.2409136,"Articles of apparel and clothing accessories, not knitted or crocheted - Hong Kong, China- Ltd.",10617.72324,70784.8216,13,"Articles of apparel and clothing accessories, not knitted or crocheted - Algeria- Ltd.",19.53613704,130.2409136,10858,1,0,1,1.68E+11,100,0
45,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",12,Algeria,HS,Harmonized System,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",A,Annual,A,Annual,USD,US$,2017,,,,439709.6205,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof - Hong Kong, China- Ltd.",6491374.501,43275830.01,22,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof - Algeria- Ltd.",65956.44308,439709.6205,10858,1,0,1,1.68E+11,100,0
